# Volume points
  59.12759    0.48968   0.47774   0.43807   0.37133   0.28301   0.17748   0.05778  -0.07390  -0.21595  -0.36712  -0.52644
  60.99464    0.33304   0.32085   0.27656   0.20284   0.10620  -0.00860  -0.13826  -0.28048  -0.43355  -0.59615  -0.76726
  62.90059    0.22387   0.21279   0.16876   0.09460  -0.00275  -0.11837  -0.24891  -0.39204  -0.54605  -0.70960  -0.88168
  64.84583    0.15889   0.14836   0.10382   0.02847  -0.07031  -0.18746  -0.31959  -0.46436  -0.62001  -0.78523  -0.95897
  66.83077    0.13413   0.12356   0.07758   0.00013  -0.10099  -0.22059  -0.35523  -0.50252  -0.66072  -0.82851  -1.00483
  68.85581    0.14624   0.13530   0.08734   0.00725  -0.09674  -0.21929  -0.35693  -0.50727  -0.66852  -0.83938  -1.01877
  70.92135    0.19184   0.18013   0.12948   0.04605  -0.06147  -0.18766  -0.32898  -0.48302  -0.64800  -0.82259  -1.00573
  73.02779    0.26784   0.25471   0.20035   0.11261   0.00055  -0.13024  -0.27622  -0.43493  -0.60461  -0.78390  -0.97176
  75.17553    0.37115   0.35590   0.29768   0.20591   0.08994  -0.04464  -0.19427  -0.35651  -0.52961  -0.71223  -0.90332

# Fitted data
  59.12759    0.48978   0.47765   0.43729   0.36967   0.28026   0.17378   0.05297  -0.07984  -0.22278  -0.37501  -0.53535
  59.20783    0.48192   0.46979   0.42930   0.36145   0.27178   0.16497   0.04381  -0.08938  -0.23274  -0.38541  -0.54622
  59.28807    0.47415   0.46205   0.42142   0.35335   0.26342   0.15629   0.03479  -0.09877  -0.24255  -0.39564  -0.55691
  59.36831    0.46650   0.45440   0.41365   0.34537   0.25518   0.14773   0.02590  -0.10802  -0.25220  -0.40572  -0.56742
  59.44855    0.45894   0.44686   0.40598   0.33749   0.24705   0.13930   0.01715  -0.11714  -0.26171  -0.41563  -0.57777
  59.52879    0.45149   0.43943   0.39842   0.32973   0.23904   0.13099   0.00852  -0.12611  -0.27107  -0.42539  -0.58794
  59.60903    0.44415   0.43209   0.39097   0.32207   0.23115   0.12280   0.00002  -0.13495  -0.28028  -0.43498  -0.59795
  59.68927    0.43690   0.42486   0.38362   0.31453   0.22336   0.11473  -0.00835  -0.14365  -0.28935  -0.44443  -0.60779
  59.76951    0.42976   0.41774   0.37638   0.30709   0.21570   0.10679  -0.01660  -0.15222  -0.29827  -0.45372  -0.61747
  59.84975    0.42271   0.41071   0.36924   0.29977   0.20814   0.09896  -0.02472  -0.16065  -0.30705  -0.46285  -0.62698
  59.92999    0.41577   0.40378   0.36221   0.29255   0.20070   0.09125  -0.03271  -0.16896  -0.31569  -0.47184  -0.63634
  60.01023    0.40893   0.39696   0.35528   0.28543   0.19337   0.08365  -0.04058  -0.17713  -0.32419  -0.48068  -0.64553
  60.09047    0.40218   0.39023   0.34845   0.27842   0.18615   0.07618  -0.04833  -0.18517  -0.33256  -0.48938  -0.65457
  60.17071    0.39554   0.38360   0.34172   0.27152   0.17903   0.06881  -0.05596  -0.19309  -0.34079  -0.49793  -0.66346
  60.25095    0.38899   0.37707   0.33509   0.26472   0.17203   0.06156  -0.06347  -0.20087  -0.34888  -0.50633  -0.67219
  60.33118    0.38253   0.37064   0.32856   0.25802   0.16513   0.05443  -0.07086  -0.20854  -0.35684  -0.51460  -0.68078
  60.41142    0.37618   0.36430   0.32213   0.25143   0.15834   0.04740  -0.07813  -0.21607  -0.36467  -0.52272  -0.68921
  60.49166    0.36992   0.35806   0.31579   0.24494   0.15166   0.04049  -0.08528  -0.22349  -0.37236  -0.53071  -0.69750
  60.57190    0.36376   0.35192   0.30956   0.23855   0.14508   0.03369  -0.09232  -0.23078  -0.37993  -0.53856  -0.70564
  60.65214    0.35769   0.34587   0.30342   0.23226   0.13860   0.02700  -0.09925  -0.23795  -0.38737  -0.54627  -0.71364
  60.73238    0.35171   0.33991   0.29738   0.22606   0.13223   0.02041  -0.10606  -0.24501  -0.39469  -0.55385  -0.72150
  60.81262    0.34583   0.33405   0.29144   0.21997   0.12596   0.01393  -0.11276  -0.25194  -0.40188  -0.56130  -0.72922
  60.89286    0.34004   0.32828   0.28559   0.21398   0.11979   0.00756  -0.11934  -0.25876  -0.40894  -0.56862  -0.73680
  60.97310    0.33434   0.32261   0.27983   0.20808   0.11373   0.00130  -0.12582  -0.26546  -0.41588  -0.57581  -0.74424
  61.05334    0.32874   0.31702   0.27417   0.20228   0.10776  -0.00487  -0.13219  -0.27204  -0.42270  -0.58287  -0.75155
  61.13358    0.32323   0.31153   0.26861   0.19658   0.10189  -0.01092  -0.13844  -0.27851  -0.42941  -0.58980  -0.75872
  61.21382    0.31781   0.30613   0.26313   0.19097   0.09613  -0.01688  -0.14459  -0.28487  -0.43599  -0.59661  -0.76577
  61.29406    0.31247   0.30082   0.25775   0.18546   0.09046  -0.02273  -0.15064  -0.29112  -0.44245  -0.60330  -0.77268
  61.37430    0.30723   0.29560   0.25246   0.18004   0.08488  -0.02848  -0.15658  -0.29726  -0.44880  -0.60986  -0.77946
  61.45454    0.30208   0.29047   0.24726   0.17472   0.07941  -0.03413  -0.16241  -0.30329  -0.45504  -0.61630  -0.78612
  61.53478    0.29701   0.28543   0.24215   0.16948   0.07403  -0.03968  -0.16814  -0.30920  -0.46116  -0.62263  -0.79265
  61.61502    0.29204   0.28047   0.23713   0.16434   0.06874  -0.04513  -0.17377  -0.31502  -0.46716  -0.62883  -0.79906
  61.69526    0.28715   0.27561   0.23220   0.15929   0.06355  -0.05048  -0.17929  -0.32072  -0.47306  -0.63492  -0.80534
