# Volume points
 166.77479    1.17789   1.13544   0.98548   0.75943   0.47840   0.15479  -0.20342  -0.59070  -1.00304  -1.43739
 172.04098    0.86974   0.82520   0.67012   0.43773   0.14977  -0.18111  -0.54679  -0.94172  -1.36182  -1.80403
 177.41688    0.65550   0.60896   0.44935   0.21156  -0.08213  -0.41887  -0.79050  -1.19140  -1.61749  -2.06569
 182.90362    0.52676   0.47757   0.31286   0.06932  -0.23029  -0.57297  -0.95051  -1.35728  -1.78919  -2.24315
 188.50233    0.47621   0.42454   0.25526   0.00677  -0.29779  -0.64531  -1.02756  -1.43891  -1.87528  -2.33360
 194.21414    0.49646   0.44164   0.26709   0.01307  -0.29691  -0.64967  -1.03697  -1.45320  -1.89429  -2.35717
 200.04018    0.58107   0.52236   0.34195   0.08202  -0.23363  -0.59179  -0.98422  -1.40535  -1.85112  -2.31850
 205.98158    0.72355   0.66208   0.47954   0.21867  -0.09686  -0.45402  -0.84472  -1.26347  -1.70632  -2.17029
 212.03948    0.91859   0.86352   0.69345   0.44840   0.15118  -0.18573  -0.55461  -0.95020  -1.36874  -1.80739

# Fitted data
 166.77479    1.17790   1.13465   0.98386   0.75530   0.47224   0.14473  -0.21336  -0.60095  -1.01866  -1.45584
 167.00112    1.16246   1.11926   0.96842   0.73994   0.45690   0.12958  -0.22881  -0.61653  -1.03409  -1.47126
 167.22744    1.14722   1.10406   0.95318   0.72476   0.44173   0.11458  -0.24411  -0.63197  -1.04939  -1.48656
 167.45376    1.13219   1.08907   0.93813   0.70976   0.42673   0.09974  -0.25927  -0.64727  -1.06456  -1.50174
 167.68009    1.11736   1.07428   0.92327   0.69494   0.41189   0.08504  -0.27427  -0.66242  -1.07960  -1.51680
 167.90641    1.10273   1.05968   0.90859   0.68029   0.39722   0.07050  -0.28912  -0.67743  -1.09451  -1.53174
 168.13273    1.08831   1.04528   0.89411   0.66582   0.38271   0.05611  -0.30383  -0.69230  -1.10929  -1.54656
 168.35906    1.07409   1.03107   0.87981   0.65153   0.36837   0.04186  -0.31838  -0.70702  -1.12394  -1.56126
 168.58538    1.06006   1.01705   0.86571   0.63741   0.35420   0.02777  -0.33279  -0.72160  -1.13846  -1.57584
 168.81171    1.04623   1.00323   0.85178   0.62347   0.34019   0.01383  -0.34705  -0.73604  -1.15285  -1.59030
 169.03803    1.03260   0.98960   0.83804   0.60970   0.32634   0.00004  -0.36116  -0.75034  -1.16711  -1.60464
 169.26435    1.01916   0.97616   0.82449   0.59610   0.31265  -0.01361  -0.37512  -0.76449  -1.18125  -1.61885
 169.49068    1.00592   0.96291   0.81112   0.58268   0.29913  -0.02710  -0.38893  -0.77850  -1.19525  -1.63295
 169.71700    0.99287   0.94984   0.79792   0.56942   0.28577  -0.04044  -0.40260  -0.79237  -1.20912  -1.64692
 169.94332    0.98001   0.93696   0.78491   0.55634   0.27258  -0.05364  -0.41612  -0.80610  -1.22286  -1.66077
 170.16965    0.96734   0.92427   0.77208   0.54343   0.25954  -0.06669  -0.42949  -0.81968  -1.23647  -1.67450
 170.39597    0.95486   0.91176   0.75943   0.53068   0.24666  -0.07959  -0.44271  -0.83312  -1.24995  -1.68810
 170.62229    0.94257   0.89944   0.74696   0.51811   0.23394  -0.09234  -0.45579  -0.84642  -1.26330  -1.70158
 170.84862    0.93046   0.88729   0.73466   0.50570   0.22139  -0.10494  -0.46872  -0.85958  -1.27652  -1.71494
 171.07494    0.91855   0.87533   0.72254   0.49346   0.20899  -0.11740  -0.48151  -0.87260  -1.28960  -1.72818
 171.30126    0.90681   0.86355   0.71060   0.48138   0.19675  -0.12971  -0.49414  -0.88547  -1.30256  -1.74129
 171.52759    0.89526   0.85195   0.69882   0.46947   0.18467  -0.14187  -0.50664  -0.89821  -1.31538  -1.75427
 171.75391    0.88389   0.84053   0.68723   0.45773   0.17274  -0.15389  -0.51898  -0.91080  -1.32808  -1.76714
